T,E,logloss_perdido_medio,logloss_perdido_std,iter_ahorradas_media,iter_ahorradas_std,n_datasets
5,-0.2,2.9938,4.9388,88.439,6.6495,20
5,-0.1,1.7561,3.0266,85.2123,9.3112,20
5,0.0,1.525,3.0807,75.9947,13.2591,20
5,0.1,0.9122,2.8962,42.6179,32.0236,20
10,-0.2,3.848,5.385,88.4473,7.0001,20
10,-0.1,2.1392,3.0423,86.882,7.7438,20
10,0.0,1.7359,2.718,79.9335,11.8408,20
10,0.1,0.4344,1.0253,46.1936,34.7812,20
15,-0.2,3.9703,6.9985,85.1786,8.1417,20
15,-0.1,3.2049,6.1687,82.163,9.7104,20
15,0.0,1.5934,2.7571,73.6998,9.7258,20
15,0.1,0.3999,0.9008,47.202,29.1204,20
20,-0.2,3.9433,8.6861,83.8308,8.448,20
20,-0.1,3.7559,8.6452,81.8637,9.9106,20
20,0.0,3.2143,8.1169,68.7012,12.813,20
20,0.1,0.9218,2.5971,45.6232,28.5515,20
